
SparkFun Test Program ...

Waiting for data

25.35 -8.25 87.00

24.60 -7.80 87.00

23.25 -8.25 87.75

25.05 -8.55 86.70

24.45 -9.90 86.10

23.85 -7.80 84.90

24.75 -6.90 85.50

25.20 -8.85 87.30

23.85 -8.25 86.40

24.60 -7.50 85.65

25.20 -8.40 85.80

24.75 -7.65 85.80

24.60 -7.05 85.95

23.70 -7.35 85.80

25.05 -8.25 85.20

24.45 -6.90 85.05

25.05 -7.80 85.20

25.35 -7.80 85.65

24.75 -7.65 86.10

24.30 -9.00 85.95

24.60 -10.05 86.40

25.65 -9.00 87.45

24.75 -7.35 86.55

23.85 -9.00 85.65

24.75 -7.65 85.50

25.35 -9.75 87.75

24.15 -7.65 85.05

24.15 -9.90 87.60

22.95 -7.65 85.05

24.30 -7.80 84.90

24.75 -9.15 85.05

23.55 -8.55 86.40

24.15 -8.10 85.80

24.45 -8.10 86.85

24.30 -9.30 86.40

24.15 -6.90 85.05

26.10 -10.05 84.60

23.55 -7.80 85.20

25.35 -8.25 86.40

23.25 -8.25 84.60

25.05 -9.00 85.95

24.45 -5.70 86.10

23.40 -9.15 86.55

24.60 -9.00 84.90

24.45 -7.65 85.80

24.60 -8.55 85.65

24.45 -9.90 86.10

26.10 -8.55 85.95

24.60 -8.55 85.95

23.85 -7.80 85.95

25.35 -7.80 85.95

24.45 -7.35 85.05

23.70 -9.60 86.55

23.85 -7.50 85.65

24.60 -7.80 87.00

24.30 -7.50 86.40

24.75 -8.85 87.90

24.60 -7.80 84.90

24.30 -8.55 86.70

25.50 -9.15 84.75

22.80 -9.75 85.95

25.35 -8.55 86.40

23.70 -8.10 86.85

25.50 -8.40 86.10

23.85 -8.25 84.60

25.05 -8.25 85.95

24.60 -9.00 87.00

25.95 -7.65 85.80

25.05 -10.05 84.60

25.05 -6.75 86.40

23.70 -7.35 85.80

23.40 -8.40 86.55

24.30 -9.75 85.95

26.70 -8.85 86.85

25.50 -7.65 85.50

25.50 -8.40 86.85

24.15 -8.10 85.05

24.75 -9.15 85.05

24.75 -8.10 87.60

24.15 -7.65 85.95

24.75 -7.65 86.85

25.35 -6.75 87.00

24.45 -8.40 84.30

25.35 -8.55 85.95

24.60 -8.55 86.70

25.95 -8.10 84.75

24.60 -7.50 85.20

25.05 -8.55 87.45

23.85 -8.25 85.65

24.60 -9.30 85.95

25.05 -7.80 84.90

24.75 -8.40 85.50

23.85 -8.55 86.40

25.35 -8.25 85.20

25.05 -9.30 85.95

22.95 -8.85 86.10

26.40 -8.25 87.00

23.85 -9.00 86.40

25.95 -9.15 86.55

23.25 -7.80 86.40

25.65 -7.50 87.00

23.85 -9.30 85.65

25.05 -9.30 86.40

24.45 -7.35 86.10

24.45 -9.60 85.80

23.40 -8.10 85.50

24.75 -10.35 86.85

24.15 -7.35 86.85

24.75 -8.85 84.75

25.05 -7.05 87.45

23.70 -7.35 84.75

25.65 -8.55 85.20

24.15 -6.15 84.75

25.20 -8.40 85.80

24.30 -7.50 85.65

26.25 -8.40 86.10

24.30 -7.50 85.95

25.05 -7.50 85.95

25.20 -7.35 85.80

24.30 -9.75 85.65

24.45 -7.35 85.80

23.70 -8.10 86.55

26.10 -8.25 84.90

24.60 -9.00 84.60

25.50 -7.35 85.50

24.60 -7.80 85.20

24.15 -8.85 85.05

25.65 -7.80 85.95

24.15 -8.40 85.80

25.35 -7.80 85.65

24.75 -7.35 85.50

23.85 -8.55 86.40

25.05 -8.25 85.95

25.65 -7.50 85.95

23.25 -7.80 86.40

25.50 -8.10 87.90

25.20 -8.85 86.10

25.65 -8.55 87.00

24.30 -7.50 86.70

26.70 -8.10 86.85

24.15 -9.15 86.55

24.45 -7.35 85.50

23.85 -7.50 85.65

25.05 -6.75 85.65

23.70 -6.90 86.55

25.05 -9.30 86.70

24.60 -9.00 85.65

24.15 -9.15 86.85

24.15 -7.65 86.55

24.15 -8.10 87.30

24.75 -8.40 86.55

25.05 -7.05 86.70

24.30 -9.00 86.40

23.85 -7.05 86.40

25.50 -8.10 87.30

25.50 -8.85 86.10

24.30 -8.25 84.60

25.50 -7.65 86.10

24.30 -10.05 84.90

24.30 -7.80 85.65

23.25 -9.30 86.40

26.10 -7.80 86.70

25.20 -8.85 85.80

22.80 -7.80 84.60

24.75 -7.65 87.30

24.45 -8.40 85.05

24.75 -8.10 85.05

24.60 -7.80 85.65

23.55 -8.25 86.40

23.85 -9.75 86.40

24.75 -8.40 86.10

23.40 -8.85 85.50

24.75 -8.10 86.55

23.55 -9.00 84.60

24.60 -7.50 87.45

23.25 -7.50 85.95

24.45 -8.85 86.85

25.35 -7.50 86.70

25.35 -8.25 85.95

23.70 -8.10 84.75

26.10 -7.05 85.20

25.95 -7.65 85.50

24.45 -6.90 85.50

24.30 -7.05 85.95

25.05 -8.55 85.95

24.75 -8.40 85.50

25.05 -8.55 85.95

24.30 -6.75 86.70

26.25 -7.65 85.50

25.20 -9.15 86.10

24.75 -7.65 86.55

24.75 -9.15 84.75

23.85 -7.80 85.20

23.85 -6.75 84.90

25.05 -8.25 85.65

25.20 -7.65 85.50

25.95 -8.85 85.50

24.15 -8.40 86.85

23.85 -9.30 85.95

24.15 -8.40 87.30
