
SparkFun Test Program ...

Waiting for data
-10.35 00.00 92.25

-10.80 00.90 90.90

-9.60 01.05 91.05

-9.30 01.20 91.65

-10.05 -0.90 90.90

-9.15 00.75 91.80

-8.40 00.75 92.25

-8.85 01.05 91.50

-10.35 -1.05 92.25

-10.80 01.65 91.65

-9.30 02.10 91.35

-11.25 02.40 92.40

-6.90 02.25 91.80

-9.90 -0.75 91.80

-8.40 01.05 90.75

-8.70 01.65 90.90

-10.05 01.20 90.15

-9.60 02.55 91.80

-9.30 01.65 91.95

-9.15 00.30 91.50

-9.60 00.00 92.25

-8.70 00.90 90.90

-9.75 00.45 92.70

-8.25 01.20 90.15

-9.60 01.05 91.80

-9.60 00.30 91.80

-10.35 02.55 91.05

-9.15 01.80 91.05

-9.15 00.00 91.80

-8.25 00.15 91.35

-11.55 -0.15 91.35

-10.65 01.80 90.45

-8.85 01.05 91.05

-9.00 01.65 92.70

-8.70 00.90 91.65

-9.75 02.40 93.15

-9.60 01.05 93.00

-9.30 00.15 93.45

-10.50 00.90 93.45

-9.60 01.50 91.80

-8.70 01.65 93.45

-8.40 01.05 91.80

-9.00 01.20 91.95

-9.15 01.80 92.25

-9.00 00.45 91.35

-9.15 00.75 92.25

-9.30 01.65 93.45

-9.30 03.15 93.45

-8.70 -0.15 91.95

-10.05 00.45 91.65

-9.30 02.10 90.60

-9.15 03.45 91.80

-9.60 00.75 92.25

-9.60 00.75 91.05

-9.15 02.25 92.25

-9.90 01.05 91.50

-8.25 00.15 92.70

-10.50 02.40 90.15

-9.15 02.25 93.00

-9.00 02.10 92.70

-9.60 01.80 91.50

-9.00 00.45 92.40

-10.05 -0.15 91.35

-11.25 01.65 90.90

-10.50 00.45 90.60

-9.60 00.30 88.95

-10.80 -0.15 90.60

-9.00 00.15 89.10

-9.00 00.15 90.15

-11.55 00.90 89.85

-9.60 00.30 90.45

-11.25 00.45 89.85

-8.85 01.80 90.45

-10.35 00.75 91.50

-10.05 00.90 90.90

-9.30 01.20 91.65

-10.80 00.15 90.15

-9.30 00.45 90.15

-9.90 00.30 90.45

-9.00 02.10 90.90

-9.00 00.45 89.85

-9.30 01.65 91.65

-9.15 -0.30 90.45

-9.60 00.75 91.80

-9.90 00.00 90.75

-8.10 01.05 93.00

-9.75 -0.15 91.35

-10.05 -0.45 92.40

-10.50 01.65 92.70

-7.20 01.65 93.15

-9.90 01.05 93.00

-10.50 02.10 91.95

-8.40 00.75 93.60

-9.00 01.20 93.15

-10.05 01.20 91.35

-10.80 -0.45 93.15

-9.90 01.05 93.60

-8.70 01.20 92.40

-9.60 01.05 94.05

-9.15 01.50 93.00

-10.50 02.10 93.15

-8.70 01.20 92.70

-9.60 00.75 92.55

-9.15 00.00 91.80

-9.00 01.20 93.45

-8.85 01.05 94.35

-8.25 00.45 93.15

-9.30 00.15 91.65

-10.50 -0.45 92.40

-9.30 01.65 91.65

-9.75 02.10 94.50

-9.30 01.20 92.40

-9.60 01.80 91.05

-10.05 00.90 91.35

-8.40 01.50 91.05

-9.75 00.45 90.90

-9.15 01.50 90.00

-11.55 00.45 90.90

-9.75 -1.20 90.90

-9.75 -0.90 90.90

-10.35 01.05 90.75

-9.90 01.05 90.45

-11.40 03.00 91.50

-10.05 00.90 90.60

-9.00 01.20 90.90

-10.80 00.15 91.65

-10.65 00.75 91.80

-9.00 02.10 91.35

-9.00 -0.90 90.60

-10.65 01.50 92.25

-8.85 01.80 90.45

-9.30 00.15 89.85

-10.35 -0.75 91.80

-9.30 00.45 90.15

-10.80 02.10 90.15

-8.85 01.80 91.05

-9.75 -0.15 90.15

-10.65 00.30 89.25

-9.30 01.20 91.35

-9.75 00.45 90.15

-9.15 01.05 90.75

-9.90 00.75 90.00

-9.75 00.45 90.15

-8.40 01.05 91.50

-9.90 01.50 90.75

-9.15 01.05 89.25

-10.50 00.15 89.85

-10.50 01.20 91.95

-10.35 00.30 89.70

-8.85 00.00 90.75

-9.90 00.75 90.45

-9.75 01.20 89.40

-9.15 00.75 90.75

-8.85 01.05 90.75

-8.25 00.15 91.35

-10.05 00.45 91.35

-9.60 01.80 89.70

-9.90 00.00 90.75

-9.15 00.00 91.05

-10.65 01.80 89.70

-7.65 01.50 91.05

-10.35 00.30 89.70

-10.65 01.80 91.50

-10.05 02.40 91.95

-9.90 00.30 91.05

-9.75 00.90 90.90

-8.70 00.45 89.10

-9.60 00.75 90.45

-9.30 00.45 91.65

-10.65 00.75 89.70

-10.35 00.30 90.00

-10.05 00.90 89.40

-11.40 00.30 89.70

-9.60 00.00 89.70

-10.80 -0.45 90.90

-9.90 00.30 90.75

-10.05 02.10 90.60

-9.00 -0.90 87.60

-10.05 02.10 90.15

-10.50 00.45 89.10

-9.15 01.05 90.00

-9.00 -0.45 90.90

-9.60 -0.75 90.75

-10.05 -0.45 91.35

-10.35 00.30 88.95

-8.40 00.75 90.45

-8.40 01.50 90.00

-9.30 00.15 88.35

-10.05 00.45 89.40

-10.50 02.85 91.35

-9.90 00.75 90.00

-9.30 -1.20 89.85

-9.30 01.20 91.65

-9.90 03.00 90.75

-9.90 -0.30 91.80

-10.35 00.75 89.25

-9.75 00.15 89.85

-10.35 00.00 91.05

-9.30 02.10 91.65

-9.60 00.00 91.05

-9.60 00.75 91.50

-10.50 00.15 91.65

-9.90 00.75 91.80

-10.05 02.10 90.90

-9.75 01.20 91.95

-9.90 00.30 91.05

-9.30 01.65 90.60

-9.60 01.05 91.05

-10.50 02.40 91.65

-9.60 00.75 91.05

-8.25 -0.45 90.15

-10.05 00.45 89.10

-7.95 -0.45 90.15

-11.10 01.80 91.05

-9.30 -0.15 90.15

-11.85 -0.30 89.25

-10.65 01.80 90.45

-10.50 00.90 89.85

-9.30 00.45 90.90

-8.85 00.00 90.75

-10.05 00.15 89.85

-9.30 00.90 90.15

-9.75 01.20 89.85

-9.15 00.75 91.50

-9.90 01.80 90.45

-9.75 00.15 90.60

-9.00 00.45 89.85

-10.05 -0.15 90.90

-7.50 00.45 89.85

-9.15 00.00 89.25

-9.30 00.90 89.40

-9.90 00.75 91.50

-7.35 -0.75 92.55

-10.65 00.75 90.00

-9.75 01.65 90.90

-10.05 01.65 90.15

-10.65 00.75 90.75

-9.00 00.90 90.60

-9.60 -0.75 92.25

-9.15 01.80 90.45

-9.00 00.90 90.60

-10.05 01.20 90.15

-10.05 -0.45 90.90

-9.15 01.05 90.75

-9.90 -0.30 90.45

-9.00 02.40 90.90

-10.50 01.20 91.95

-8.85 01.05 92.25

-8.85 01.50 90.45

-8.10 00.75 91.05

-11.10 01.50 91.80

-7.95 00.90 90.15

-9.15 01.05 91.05

-9.00 -0.15 90.90

-10.50 00.45 91.65

-9.15 00.75 91.80

-8.85 01.50 91.05

-9.60 01.05 91.05

-9.75 00.90 92.40

-9.75 00.15 89.85

-7.95 00.15 91.95

-9.60 01.05 91.50

-9.60 00.75 90.75

-9.75 00.45 91.35

-8.85 -0.30 91.05

-8.40 00.75 91.50

-10.50 00.15 91.95

-9.60 00.00 91.50

-8.40 01.05 91.50

-9.30 00.45 92.40

-9.30 00.90 92.70

-9.00 01.20 91.95

-8.40 02.55 91.80

-8.40 00.75 91.05

-8.10 01.50 91.80

-9.15 00.30 91.05

-9.75 02.10 91.65

-8.70 01.20 93.15

-9.90 00.30 92.25

-9.60 01.05 91.05

-9.15 00.75 92.25

-8.70 01.65 90.90

-9.75 01.65 90.60

-9.00 02.10 90.60

-9.60 -1.05 91.50

-10.35 00.75 91.50

-10.35 00.75 89.70

-9.30 -0.45 91.35

-9.30 02.10 90.15

